municipio,IBGE,IBGE7,UF,regiao,populacao_2020,eh_capital,fonte_1,fonte_2,fonte_3,fonte_4,is_online,data_inicial,tipo_arquivo,validacao,navegacao,observacoes
Cabo Frio (RJ),330070,3300704,RJ,Região Sudeste,230378,False,http://rj.portaldatransparencia.com.br/prefeitura/cabofrio/?pagina=dop&frompage=1&StartRow=31,None,None,None,1,2020-07-29,PDF texto,True,None,A ementa dos atos oficiais é publicada em HTML na página com as edições do Diário Oficial.
Cabo de Santo Agostinho (PE),260290,2602902,PE,Região Nordeste,208944,False,http://www.diariomunicipal.com.br/amupe/pesquisar?busca_avancada[entidadeUsuaria]=4602,None,None,None,1,2012-04-24,HTML,True,None,
Cachoeirinha (RS),430310,4303103,RS,Região Sul,131240,False,https://cachoeirinha.atende.net/#!/tipo/pagina/valor/345,https://cachoeirinha.atende.net/?pg=diariooficial,None,None,1,2013-05-15,PDF texto,True,None,"Há uma mensagem na página da prefeitura que, em breve, o url oficial para o DOM será endereço cadastrad na fonte 2 quando acabarem de aprimorar o site. Por enquanto, está na fonte 1."
Cachoeiro de Itapemirim (ES),320120,3201209,ES,Região Sudeste,210589,False,https://prefeitura.cachoeiro.es.gov.br/servicos/site.php?nomePagina=DIARIO,None,None,None,1,2000-02-02,PDF texto,True,None,
Caieiras (SP),350900,3509007,SP,Região Sudeste,102775,False,https://caieiras.sp.gov.br/?id=imprensa-oficial,None,None,None,1,2009-11-30,PDF texto,True,None,
Camaragibe (PE),260345,2603454,PE,Região Nordeste,158899,False,http://www.diariomunicipal.com.br/amupe/pesquisar?busca_avancada[entidadeUsuaria]=8729,None,None,None,1,2013-05-15,HTML,True,None,
Camaçari (BA),290570,2905701,BA,Região Nordeste,304302,False,http://www.camacari.ba.gov.br/arquivos/diario-oficial/,None,None,None,1,2007-09-08,PDF imagem,True,None,None
Cambé (PR),410370,4103701,PR,Região Sul,107341,False,http://jornaloficial.cambe.pr.gov.br:8080/JornalOficial/,None,None,None,1,2018-05-16,PDF texto,True,None,
Cametá (PA),150210,1502103,PA,Região Norte,139364,False,http://www.diariomunicipal.com.br/famep/pesquisar?busca_avancada[__paper]=12&busca_avancada[entidadeUsuaria]=587006,http://www.ioepa.com.br/pesquisa/?q=%22PREFEITURA%20MUNICIPAL%20DE%20CAMET%C3%81%22&di=00010101&df=20991231,https://prefeituradecameta.pa.gov.br/categoria/atos-oficiais/,None,1,2008-01-09,HTML,True,None,"Parece estar publicando no site da Federação de Associações de Municípios do Estado do Pará (FAMEP) desde 17/09/2020.

Até 26/08/2020, publicava como uma seção do Diário Oficial do Estado."
Campina Grande (PB),250400,2504009,PB,Região Nordeste,411807,False,https://campinagrande.pb.gov.br/semanario-oficial/,None,None,None,1,2018-12-03,PDF texto,True,None,None
Campinas (SP),350950,3509502,SP,Região Sudeste,1213792,False,http://www.campinas.sp.gov.br/diario-oficial/,None,None,None,1,1995-01-05,PDF texto,True,None,None
Campo Grande (MS),500270,5002704,MS,Região Centro-Oeste,906092,True,http://portal.capital.ms.gov.br/diogrande,None,None,None,1,1988-01-09,PDF imagem,True,None,
Campo Largo (PR),410420,4104204,PR,Região Sul,133865,False,http://acervo.maven.com.br/pub/diariocampolargo/?flip=acervo,None,None,None,1,2006-01-20,PDF texto,True,None,"A exibição padrão no site é PDF imagem, mas há um botão para gerar um PDF (texto) para download."
Campos Dos Goytacazes (RJ),330100,3301009,RJ,Região Sudeste,511168,False,https://www.campos.rj.gov.br/diario-oficial.php,http://www.ioerj.com.br/portal/modules/conteudoonline/busca_do.php,None,None,1,2010-06-10,PDF texto,True,None,"Além do diário oficial da página da prefeitura, também há publicações na seção ""Municipalidades"" do diário oficial do estado."
Canoas (RS),430460,4304606,RS,Região Sul,348208,False,https://sistemas.canoas.rs.gov.br/domc/publicacoes-por-data,None,None,None,1,2018-05-29,PDF texto,True,None,
Caraguatatuba (SP),351050,3510500,SP,Região Sudeste,123389,False,http://www.caraguatatuba.sp.gov.br/pmc/category/diario-oficial/,None,None,None,1,2017-06-20,PDF texto,True,None,
Carapicuíba (SP),351060,3510609,SP,Região Sudeste,403183,False,http://www.carapicuiba.sp.gov.br/index.php/carapicuiba/atos-oficiais/21-DiarioOficial,None,None,None,1,2018-02-21,PDF texto,True,None,
Cariacica (ES),320130,3201308,ES,Região Sudeste,383917,False,https://www.cariacica.es.gov.br/publicacoes/diario-oficial,None,None,None,1,2014-07-01,PDF texto,True,None,
Caruaru (PE),260410,2604106,PE,Região Nordeste,365278,False,http://diario-oficial.caruaru.pe.gov.br/,None,None,None,1,2011-12-07,PDF texto,True,None,
Cascavel (PR),410480,4104808,PR,Região Sul,332333,False,http://www.cascavel.pr.gov.br/servicos/orgao_oficial.php,None,None,None,1,2009-05-25,PDF imagem,True,None,O Diário Oficial de Cascavel é dividido em cadernos. Não em um documento com todos os atos.
Castanhal (PA),150240,1502400,PA,Região Norte,203251,False,http://www.castanhal.pa.gov.br/cidadao/#DiarioOficial,None,None,None,1,2012-01-13,PDF texto,True,None,
Catalão (GO),520510,5205109,GO,Região Centro-Oeste,110983,False,http://diariooficial.abc.go.gov.br/buscanova/#/q=PREFEITURA%20MUNICIPAL%20DE%20CATAL%C3%83O,None,None,None,1,2007-11-13,PDF texto,True,None,
Catanduva (SP),351110,3511102,SP,Região Sudeste,122497,False,https://www.govbrdioenet.com.br/list/catanduva,None,None,None,1,2016-03-18,PDF texto,True,None,
Caucaia (CE),230370,2303709,CE,Região Nordeste,365212,False,http://www.caucaia.ce.gov.br/index.php?tabela=pagina&acao=diario_buscar_data,None,None,None,1,2002-06-03,PDF texto,True,None,None
Caxias (MA),210300,2103000,MA,Região Nordeste,165525,False,http://caxias.ma.gov.br/diario-oficial-do-municipio/,None,None,None,1,2017-03-15,PDF texto,True,None,
