municipio,IBGE,IBGE7,UF,regiao,populacao_2020,eh_capital,fonte_1,fonte_2,fonte_3,fonte_4,is_online,data_inicial,tipo_arquivo,validacao,navegacao,observacoes
Porto Velho (RO),110020,1100205,RO,Região Norte,539354,True,https://www.portovelho.ro.gov.br/dom/,http://www.diariomunicipal.com.br/arom/,None,None,1,2007-01-02,PDF texto,True,None,As primeiras edições são PDF imagem.
Pouso Alegre (MG),315250,3152501,MG,Região Sudeste,152549,False,https://pousoalegre.mg.gov.br/pouso-alegre.asp?id=3#ancora,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=14062&busca_avancada%5Bnome_orgao%5D=&busca_avancada%5Btitulo%5D=&busca_avancada%5B,None,None,1,2015-01-14,PDF texto,True,None,"(Taís) Fonte 1: contém publicações quinzenais/mensais do jornal do município, onde é publicado o diário.
Fonte 2: diário unificado para vários municípios, para saber a data inicial é preciso fazer uma consulta manual.

(Validação) Os arquivos na fonte principal são PDF-Texto. Na fonte secundária, os textos estão em HTML, mas são protegidos por reCAPTCHA."
Poá (SP),353980,3539806,SP,Região Sudeste,118349,False,https://www.diariodesuzano.com.br/noticias/atos-oficiais/,None,None,None,1,2020-05-05,Outro formato,True,None,Imagem (jpg)
Poços de Caldas (MG),315180,3151800,MG,Região Sudeste,168641,False,http://transparencia.pocosdecaldas.mg.gov.br:8081/portalcidadao/#075f539f0b7223f116d2c85c4ce1b1752fccb0db1fd92284312b33310fb199ef6050e9373e0f36365cbb7737a0e49e582e657146a648fd13d54aa9e4338df879e807578,None,None,None,1,2018-08-28,PDF texto,True,None,
Praia Grande (SP),354100,3541000,SP,Região Sudeste,330845,False,http://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PRAIA+GRANDE%22&f=xhitlist&xhitlist_vpc=first&xhitlist_x=Advanced&xhitlist_q=%5bfield+%27dc%3adatapubl%27%3a%,None,None,None,1,2003-01-03,PDF texto,True,None,
Presidente Prudente (SP),354140,3541406,SP,Região Sudeste,230371,False,https://www.gdoe.com.br/presidenteprudente,None,None,None,1,2017-12-11,PDF imagem,True,None,None
Queimados (RJ),330414,3304144,RJ,Região Sudeste,151335,False,https://www.queimados.rj.gov.br/diario/portal,None,None,None,1,2015-02-02,PDF texto,True,None,
Recife (PE),261160,2611606,PE,Região Nordeste,1653461,True,https://dome.recife.pe.gov.br/dome/,https://www.cepe.com.br/prefeituradiario/,http://www.recife.pe.gov.br/diariooficial-acervo/,None,1,2001-01-01,PDF imagem,True,None,"(Taís) A versão unificada do DO só está disponível a partir de 30/04/2015 (fonte 2). Antes disso, os documentos eram disponibilizados separadamente (fonte 3)."
Resende (RJ),330420,3304201,RJ,Região Sudeste,132312,False,http://resende.rj.gov.br/blogtransparencia/page/boletim_oficial.asp,None,None,None,1,2009-01-09,PDF texto,True,None,
Ribeirão Das Neves (MG),315460,3154606,MG,Região Sudeste,338197,False,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=20953,None,None,None,1,2015-11-26,HTML,True,None,
Ribeirão Pires (SP),354330,3543303,SP,Região Sudeste,124159,False,http://www.ribeiraopires.sp.gov.br/diario-oficial,None,None,None,1,2016-05-25,PDF texto,True,None,"Não é possível saber a primeira data que o Diário Oficial de Ribeirão Pires-SP foi disponibilizado virtualmente, uma vez que a busca precisaria ser manual, clicando num aba horizontal para voltar data por data. 

(Géssika Costa)"
Ribeirão Preto (SP),354340,3543402,SP,Região Sudeste,711825,False,https://www.ribeiraopreto.sp.gov.br/diario-oficial/index.xhtml,https://www.ribeiraopreto.sp.gov.br/dom/i73ind_edicoes.php,None,None,1,1997-07-04,PDF texto,True,None,None
Rio Branco (AC),120040,1200401,AC,Região Norte,413418,True,http://www.diario.ac.gov.br/,None,None,None,1,2009-06-22,PDF texto,True,None,"Publicado dentro da seção ""Municipalidade"" do Diário Oficial do Acre"
Rio Claro (SP),354390,3543907,SP,Região Sudeste,208008,False,https://www.rioclaro.sp.gov.br/diariooficial/index.php,None,None,None,1,2008-11-13,PDF texto,True,None,
Rio Das Ostras (RJ),330452,3304524,RJ,Região Sudeste,155193,False,https://www.riodasostras.rj.gov.br/jornal-oficial/,None,None,None,1,2013-01-02,PDF texto,True,None,
Rio Grande (RS),431560,4315602,RS,Região Sul,211965,False,https://www.in.gov.br/consulta/-/buscar/dou?q=%22Munic%C3%ADpio+de+Rio+Grande%22&orgPrin=Prefeituras&orgSub=Estado+do+Rio+Grande+do+Sul,None,None,None,3,None,None,True,None,"Não encontrado veículo de publicação oficial no portal do município, no portal de transparência, no Diário Oficial do Estado do Rio Grande do Sul, nem no Diário Oficial dos Municípios do Rio Grande do Sul, da Federação de Associações de Municípios do RS (FAMURS).

Há um agregador de atos oficiais no portal da prefeitura: https://www.riogrande.rs.gov.br/pagina/publicacoes-legais/#link

Além disso, há menções no histórico de notícias da prefeitura (https://www.riogrande.rs.gov.br/pagina/?s=%22di%C3%A1rio+oficial%22) a publicação de atos no Diário Oficial da União. No entanto, uma busca no site da imprensa nacional retorna apenas dois resultados para ""Prefeitura Municipal de Rio Grande"" (https://www.in.gov.br/consulta/-/buscar/dou?q=%22Prefeitura+Municipal+de+Rio+Grande%22&s=todos&exactDate=all&sortType=0&delta=20&orgPrin=Prefeituras&orgSub=Estado+do+Rio+Grande+do+Sul) e 24 para ""Município de Rio Grande"" (https://www.in.gov.br/consulta/-/buscar/dou?q=%22Munic%C3%ADpio+de+Rio+Grande%22&s=todos&exactDate=all&sortType=0&delta=20&orgPrin=Prefeituras&orgSub=Estado+do+Rio+Grande+do+Sul)

Em 15 e 18/01/2021 foi tentado contato telefêonico ((53)3233.8400 e imprensa (53)3233-7281/3233-6052), sem sucesso. Em 22/01/2021, foi protocolado pedido de acesso à informação por meio do endereço <https://riogrande.ccanet.com.br/transparencia/pedidoacessoinformacao/solicitacaoinformacao>, mas o sistema não gera um número de protocolo atendimento para acompanhamento do pedido."
Rio Verde (GO),521880,5218805,GO,Região Centro-Oeste,241518,False,http://diariooficial.abc.go.gov.br/buscanova/#/q=PREFEITURA%20MUNICIPAL%20DE%20RIO%20VERDE,None,None,None,1,2007-11-05,PDF texto,True,None,
Rio de Janeiro (RJ),330455,3304557,RJ,Região Sudeste,6747815,True,https://doweb.rio.rj.gov.br/,None,None,None,1,2008-07-02,PDF texto,True,None,None
Rondonópolis (MT),510760,5107602,MT,Região Centro-Oeste,236042,False,http://www.rondonopolis.mt.gov.br/diario-oficial/,None,None,None,1,2004-09-01,PDF texto,True,None,
Sabará (MG),315670,3156700,MG,Região Sudeste,137125,False,https://www.jornalminasgerais.mg.gov.br/,None,None,None,1,2010-12-15,PDF texto,True,None,Publicado como seção dentro do Jornal Minas Gerais (publicação oficial do Estado de Minas Gerais)
Salto (SP),354520,3545209,SP,Região Sudeste,119736,False,https://imprensaoficialmunicipal.com.br/salto,None,None,None,1,2018-02-01,PDF imagem,True,None,None
Salvador (BA),292740,2927408,BA,Região Nordeste,2886698,True,http://www.dom.salvador.ba.gov.br/,None,None,None,1,2001-01-01,PDF texto,True,None,"A data indicada para o inicio dos diários (01/01/2001) é a expressamente mencionada no site e a primeira acessível na busca por datas. Mas, na busca por números das edições, é possível acessar edições desde 01/09/1994."
Santa Bárbara D´oeste (SP),354580,3545803,SP,Região Sudeste,194390,False,http://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+SANTA+B%c3%81RBARA+D%27OESTE%22&f=xhitlist&xhitlist_vpc=first&xhitlist_x=Advanced&xhi,None,None,None,1,2007-06-20,PDF texto,True,None,
Santa Cruz do Capibaribe (PE),261250,2612505,PE,Região Nordeste,109897,False,http://200.238.101.22/docreader/docmulti.aspx?bib=FULL&pesq=%22Prefeitura%20Municipal%20de%20Santa%20Cruz%20do%20Capibaribe%22,https://www.santacruzdocapibaribe.pe.gov.br/artigos/diariooficial/,None,None,1,1992-07-10,PDF imagem,True,None,"Chama de ""diário oficial"" uma página do site da prefeitura onde publica os atos de forma completa (todos os tipos de atos estão lá) e datada, mas desagregada (não há a divisão por edição). (FONTE 2)

Por outro lado, a partir de algum momento (estimado em 10/07/1992, na falta de forma de melhor de visualizar as ocorrências - ver anomalias) até 28/12/2019, publicava pelo menos parte de seus atos no Diário Oficial do Estado de Pernambuco (FONTE 1)."
Santa Cruz do Sul (RS),431680,4316808,RS,Região Sul,131365,False,https://www.diariooficial.rs.gov.br/,https://www.diariooficial.rs.gov.br/resultado?td=DOE&ecc=95440517000108&ecd=MUNICIPIO%20DE%20SANTA%20CRUZ%20DO%20SUL&di=2020-11-26&df=2020-11-26,None,None,1,2017-11-14,PDF texto,True,None,
Santa Luzia (MG),315780,3157807,MG,Região Sudeste,220444,False,https://www.santaluzia.mg.gov.br/dom/,None,None,None,1,2020-06-23,HTML,True,None,"Abaixo da opção de baixar a edição em PDF, há uma lista com excertos de todos os artigos do dia, com um ""Leia mais..."" para acessar o texto em PDF."
Santa Maria (RS),431690,4316907,RS,Região Sul,283677,False,https://www.diariooficial.rs.gov.br,None,None,None,1,2017-11-27,HTML,True,None,
Santa Rita (PB),251370,2513703,PB,Região Nordeste,137349,False,https://diario.santarita.pb.gov.br/,None,None,None,1,2013-04-13,PDF texto,True,None,
Santana (AP),160060,1600600,AP,Região Norte,123096,False,https://santana.ap.gov.br/diario-oficial/,None,None,None,1,2019-01-08,PDF imagem,True,None,
Santana de Parnaíba (SP),354730,3547304,SP,Região Sudeste,142301,False,https://www.santanadeparnaiba.sp.gov.br/imprensa_oficial.html,None,None,None,1,2013-11-15,PDF texto,True,None,
Santarém (PA),150680,1506807,PA,Região Norte,306480,False,http://www.diariomunicipal.com.br/famep/pesquisar,None,None,None,1,2017-12-26,HTML,True,None,
Santo André (SP),354780,3547809,SP,Região Sudeste,721368,False,http://www.santoandre.sp.gov.br/publicacao/edicao/consultaedicao.aspx,https://digital.maven.com.br/pub/AtosOficiais/,None,None,1,2011-02-08,PDF imagem,True,None,
Santo Antônio de Jesus (BA),292870,2928703,BA,Região Nordeste,102380,False,http://www.santoantoniodejesus.ba.io.org.br/diarioOficial,None,None,None,1,2020-09-11,PDF imagem,True,None,None
Santos (SP),354850,3548500,SP,Região Sudeste,433656,False,https://diariooficial.santos.sp.gov.br/,None,None,None,1,2001-05-05,PDF imagem,True,None,
Sapucaia do Sul (RS),432000,4320008,RS,Região Sul,141808,False,https://www.diariooficial.rs.gov.br/,http://www.diariomunicipal.com.br/famurs/pesquisar?busca_avancada[entidadeUsuaria]=78480,None,None,1,2017-11-09,HTML,True,None,
Senador Canedo (GO),522045,5220454,GO,Região Centro-Oeste,118451,False,http://prefeituradesenadorcanedo.sigepnet.com.br/,None,None,None,1,2017-12-28,HTML,True,None,"Permite baixar os arquivos em PDF, Excel e CSV"
Serra (ES),320500,3205002,ES,Região Sudeste,527240,False,https://diariomunicipal.es.gov.br/?r=site/index&q=cod_municipio%3A70,None,None,None,1,2014-08-01,HTML,True,None,
Sertãozinho (SP),355170,3551702,SP,Região Sudeste,127142,False,http://diarioeletronicooficial.com.br/diario/sertaozinho-sp,None,None,None,1,2019-08-07,PDF texto,True,None,
Sete Lagoas (MG),316720,3167202,MG,Região Sudeste,241835,False,https://www.setelagoas.mg.gov.br/diario-eletronico,None,None,None,1,2013-04-16,PDF texto,True,None,
Simões Filho (BA),293070,2930709,BA,Região Nordeste,135783,False,http://simoesfilho.ba.gov.br/ultimos-diarios/,None,None,None,1,2018-03-02,PDF texto,True,None,None
Sinop (MT),510790,5107909,MT,Região Centro-Oeste,146005,False,https://www.tce.mt.gov.br/diario,https://diariomunicipal.org/mt/amm/publicacoes/?e=344,None,None,1,2015-02-26,PDF texto,True,None,"Segundo [esta notícia](https://web.archive.org/web/20201128142947/https://www.sinop.mt.gov.br/Noticias/Prefeitura-de-sinop-adota-diario-oficial-de-contas-para-divulgacao-de-atos-oficiais-5214/) no portal oficial da Prefeitura de Sinop, os atos oficiais passaram a ser publicados no Diário Oficial de Contas do Mato Grosso a partir de 01/07/2017. O período de início indicado inclui as duas fontes de publicação."
Sobral (CE),231290,2312908,CE,Região Nordeste,210711,False,http://www.sobral.ce.gov.br/diario/pesquisa,None,None,None,1,2017-02-06,PDF texto,True,None,None
Sorocaba (SP),355220,3552205,SP,Região Sudeste,687357,False,http://noticias.sorocaba.sp.gov.br/jornal/,None,None,None,1,2005-01-07,PDF texto,True,None,None
Sumaré (SP),355240,3552403,SP,Região Sudeste,286211,False,https://www.sumare.sp.gov.br/index2.php?p=Diario.Oficial&edicao=todas,None,None,None,1,2011-02-11,PDF texto,True,None,
Suzano (SP),355250,3552502,SP,Região Sudeste,300559,False,https://www.suzano.sp.gov.br/web/transparencia/imprensa-oficial/,None,None,None,1,2017-08-01,HTML,True,None,"Site em HTML com itens de menu com Editais e Licitações e outras. 
Escolha por ano, abre DO em PDF"
São Bernardo do Campo (SP),354870,3548708,SP,Região Sudeste,844483,False,https://www.saobernardo.sp.gov.br/web/sbc/imprensa-oficial,https://www.saobernardo.sp.gov.br/web/sbc/todas-as-edicoes,None,None,1,2002-05-03,PDF texto,True,None,None
São Caetano do Sul (SP),354880,3548807,SP,Região Sudeste,161957,False,https://diariooficial.saocaetanodosul.sp.gov.br/publico/Default.aspx,None,None,None,1,2017-04-25,PDF texto,True,None,
São Carlos (SP),354890,3548906,SP,Região Sudeste,254484,False,http://www.saocarlos.sp.gov.br/index.php/diario-oficial.html,None,None,None,1,2009-06-11,PDF texto,True,None,
São Félix do Xingu (PA),150730,1507300,PA,Região Norte,132138,False,https://transparencia.sfxingu.pa.gov.br/diario/?ent=1,None,None,None,1,2017-01-02,PDF texto,True,None,
São Gonçalo (RJ),330490,3304904,RJ,Região Sudeste,1091737,False,https://servicos.pmsg.rj.gov.br/diario_oficial.php,None,None,None,1,2010-01-05,PDF texto,True,None,
São Gonçalo do Amarante (RN),241200,2412005,RN,Região Nordeste,103672,False,https://saogoncalo.rn.gov.br/diario-oficial/,https://saogoncalo.rn.gov.br/jornal-oficial/,None,None,1,2013-01-02,PDF texto,True,None,"A fonte principal tem os diários a partir de 22/03/2017. A fonte alternativa tem os diários anteriores, desde 2013."
São José (SC),421660,4216602,SC,Região Sul,250181,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_municipio%3A158,None,None,None,1,2013-05-16,PDF texto,True,None,
São José Dos Campos (SP),354990,3549904,SP,Região Sudeste,729737,False,http://servicos2.sjc.sp.gov.br/servicos/portal_da_transparencia/boletim_municipio.aspx,None,None,None,1,2015-08-07,PDF texto,True,None,
São José Dos Pinhais (PR),412550,4125506,PR,Região Sul,329058,False,http://www.diariooficial.sjp.pr.gov.br/index.php,None,None,None,1,2017-11-01,PDF texto,True,None,
São José de Ribamar (MA),211120,2111201,MA,Região Nordeste,179028,False,https://www.saojosederibamar.ma.gov.br/diario-eletronico,None,None,None,1,2015-12-02,PDF texto,True,None,
São José do Rio Preto (SP),354980,3549805,SP,Região Sudeste,464983,False,https://www.riopreto.sp.gov.br/DiarioOficial/Diario.action,None,None,None,1,2006-04-25,PDF texto,True,None,"Não é possível saber a primeira data, uma vez que a busca teria que ser feita manualmente, sugerindo data por data até achar o dia inicial.

Outro ponto importante é que as informações do Diário Oficial de Ribeirão Preto não se encontram em um documento só. São divididas por atos e tipos de informações. Por exemplo:  decretos, edital de compras, portarias. O cidadão precisa baixar uma por aí se quiser acompanhar os atos todos."
São João de Meriti (RJ),330510,3305109,RJ,Região Sudeste,472906,False,https://transparencia.meriti.rj.gov.br/?serv=1045,https://meriti.rj.gov.br/dom/,None,None,1,2011-09-30,PDF texto,True,None,
São Leopoldo (RS),431870,4318705,RS,Região Sul,238648,False,http://www.diariomunicipal.com.br/famurs/pesquisar?busca_avancada[entidadeUsuaria]=6586,None,None,None,1,2012-09-06,HTML,True,None,
São Lourenço da Mata (PE),261370,2613701,PE,Região Nordeste,114079,False,http://www.diariomunicipal.com.br/amupe/pesquisar?busca_avancada[entidadeUsuaria]=591,None,None,None,1,2010-03-31,HTML,True,None,
São Luís (MA),211130,2111300,MA,Região Nordeste,1108975,True,http://sistemas.semad.saoluis.ma.gov.br/easysearch/,None,None,None,1,1993-01-19,PDF texto,True,None,"O texto do PDF parece proveniente de OCR - aparentemente, um OCR de qualidade."
São Mateus (ES),320490,3204906,ES,Região Sudeste,132642,False,https://ioes.dio.es.gov.br/buscanova/#/caderno_municipios/p=1&q=Prefeitura%20Municipal%20de%20S%C3%A3o%20Mateus,None,None,None,1,2020-10-27,PDF texto,True,None,"Seção dentro do Diário Oficial dos Municípios Capixabas, da Imprensa Oficial do Espírito Santo."
São Paulo (SP),355030,3550308,SP,Região Sudeste,12325232,True,http://www.docidadesp.imprensaoficial.com.br/Busca.aspx,None,None,None,1,1975-12-02,PDF texto,True,None,None
São Pedro da Aldeia (RJ),330520,3305208,RJ,Região Sudeste,106049,False,https://transparencia.pmspa.rj.gov.br/,http://arquivos.pmspa.rj.gov.br/iframe/boletim-informativo,None,None,1,2002-12-30,PDF imagem,True,None,
São Vicente (SP),355100,3551009,SP,Região Sudeste,368355,False,http://www.saovicente.sp.gov.br/publico/noticia_assunto_lista.php?cod_menu=141,None,None,None,1,2019-08-28,HTML,True,None,
Taboão da Serra (SP),355280,3552809,SP,Região Sudeste,293652,False,http://ts.sp.gov.br/leis-e-normas/imprensa-oficial/,None,None,None,1,2005-03-01,PDF texto,True,None,
Tailândia (PA),150795,1507953,PA,Região Norte,108969,False,http://www.ioepa.com.br/pesquisa/?q=%22Prefeitura%20Municipal%20de%20Tail%C3%A2ndia%22&di=00010101&df=20991201,None,None,None,1,2008-01-07,PDF texto,True,None,"Publica no Diário Oficial do Estado do Pará.

Também possui uma página com atos oficiais escaneados (.jpg): http://www.tailandia.pa.gov.br/category/atos/"
Tangará da Serra (MT),510795,5107958,MT,Região Centro-Oeste,105711,False,https://diariomunicipal.org/mt/amm/publicacoes/?e=341,None,None,None,1,2015-02-26,HTML,True,None,
Tatuí (SP),355400,3554003,SP,Região Sudeste,122967,False,http://tatui.sp.gov.br/diario-oficial,None,None,None,1,2010-07-29,Outro formato,True,None,"Só existem 2 diários oficiais disponíveis no site como publicações (15 e 22 fev. 2019), no entanto a página reúne todas as publicações oficiais do munícipio e cada uma delas está disponível em um formato de arquivo diferente, por exemplo: as execuções orçamentárias estão em .xls, os editais de pregões em .docx e a legislação em .pdf

A data de início é a data do ato oficial mais antigo encontrado, após buscas nas seções ""Editais de chamamento"", ""Leis municipais"", ""Decretos municipais"" e ""Audiências públicas"" (ver anomalia). Foram desconsideradas datas anteriores das seções ""Contas Públicas"" e ""Leis orçamentárias"", que contém arquivos de anos anteriores, mas sem os respectivos atos publicados. 

Embora haja editais de chamamento e avisos de audiência pública desde 2010/2011, as seções de leis e decretos parecem conter atos só a partir de 2015."
Taubaté (SP),355410,3554102,SP,Região Sudeste,317915,False,https://www.taubate.sp.gov.br/publicacoes-2/,None,None,None,1,2013-06-04,PDF texto,True,None,
Teixeira de Freitas (BA),293135,2931350,BA,Região Nordeste,162438,False,http://diario.teixeiradefreitas.ba.gov.br/,None,None,None,1,2015-04-15,PDF imagem,True,None,None
Teresina (PI),221100,2211001,PI,Região Nordeste,868075,True,http://dom.pmt.pi.gov.br/lista_diario.php,None,None,None,1,2005-01-07,PDF texto,True,None,None
Teresópolis (RJ),330580,3305802,RJ,Região Sudeste,184240,False,https://teresopolis.rj.gov.br/transparencia/diario-oficial/,None,None,None,1,2009-10-01,PDF texto,True,None,None
Teófilo Otoni (MG),316860,3168606,MG,Região Sudeste,140937,False,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada[entidadeUsuaria]=53316,None,None,None,1,2017-05-26,HTML,True,None,
Timon (MA),211220,2112209,MA,Região Nordeste,170222,False,http://timon.ma.gov.br/semgov/diario/listagem.php?pagina=0,None,None,None,1,2013-03-20,PDF texto,True,None,None
Toledo (PR),412770,4127700,PR,Região Sul,142645,False,https://www.toledo.pr.gov.br/pagina/orgao-oficial,None,None,None,1,2010-01-06,PDF texto,True,None,
Trindade (GO),522140,5221403,GO,Região Centro-Oeste,129823,False,http://www.diariomunicipal.com.br/agm/pesquisar?busca_avancada[__paper]=932&busca_avancada[entidadeUsuaria]=51721,None,None,None,1,2018-08-01,HTML,True,None,
Três Lagoas (MS),500830,5008305,MS,Região Centro-Oeste,123281,False,http://diariooficialms.com.br/assomasul,http://www.diariomunicipal.com.br/ms/pesquisar?busca_avancada[__paper]=1&busca_avancada[entidadeUsuaria]=475,None,None,1,2010-01-13,PDF texto,True,None,"De 2010 a fev. 2019 os Diários estão disponíveis em: http://www.diariomunicipal.com.br/ms/pesquisar?busca_avancada[__paper]=1&busca_avancada[entidadeUsuaria]=475

De dez. 2019 até hoje os Diários estão disponíveis em: http://diariooficialms.com.br/assomasul"
Tubarão (SC),421870,4218707,SC,Região Sul,106422,False,https://diariomunicipal.sc.gov.br/site/?r=site/index&q=cod_municipio%3A260,None,None,None,1,2017-04-05,Outro formato,True,None,"O formato do arquivo depende do tipo de ato, por exemplo os Decretos estão em .odt e os pregões em .pdf"
Tucuruí (PA),150810,1508100,PA,Região Norte,115144,False,http://www.diariomunicipal.com.br/famep/pesquisar,None,None,None,1,2019-12-13,HTML,True,None,
Uberaba (MG),317010,3170107,MG,Região Sudeste,337092,False,"http://www.uberaba.mg.gov.br/portal/conteudo,10453",None,None,None,1,2003-04-25,PDF texto,True,None,
Uberlândia (MG),317020,3170206,MG,Região Sudeste,699097,False,https://www.uberlandia.mg.gov.br/prefeitura/orgaos-municipais/procuradoria-geral-do-municipio/diario-oficial-uberlandia/,None,None,None,1,2005-01-03,PDF texto,True,None,
Ubá (MG),316990,3169901,MG,Região Sudeste,116797,False,https://www.uba.mg.gov.br/diario-eletronico,None,None,None,1,2010-07-13,PDF texto,True,None,
Umuarama (PR),412810,4128104,PR,Região Sul,112500,False,https://www.in.gov.br/consulta/-/buscar/dou?q=%22Munic%C3%ADpio+de+Umuarama%22&orgPrin=Prefeituras&orgSub=Estado+do+Paran%C3%A1,https://www.documentos.dioe.pr.gov.br/dioe/consultaPublicaPDF.do?action=pgLocalizar&dataInicialEntrada=01%2F04%2F2004&dataFinalEntrada=01%2F10%2F2004&search=%22Munic%EDpio+de+Umuarama%22,None,None,1,2004-04-14,HTML,True,None,"Há publicações tanto no Diário Oficial da União (desde 09/03/2018; em HTML) quanto no Diário Oficial do Paraná - Caderno Comércio, Indústria e Serviços (desde 14/04/2004)."
Uruguaiana (RS),432240,4322400,RS,Região Sul,126866,False,https://www.diariooficial.rs.gov.br/,None,None,None,1,2017-11-17,HTML,True,None,Seção no Diário Oficial do Estado.
Valinhos (SP),355620,3556206,SP,Região Sudeste,131210,False,http://www.valinhos.sp.gov.br/boletins,None,None,None,1,2006-01-03,PDF texto,True,None,
Valparaíso de Goiás (GO),522185,5221858,GO,Região Centro-Oeste,172135,False,https://acessoainformacao.valparaisodegoias.go.gov.br/atos_adm/mp/id=2,None,None,None,1,2015-01-15,PDF imagem,True,None,None
Varginha (MG),317070,3170701,MG,Região Sudeste,136602,False,https://www.varginha.mg.gov.br/portal/jornal/,None,None,None,1,2013-01-02,PDF texto,True,None,
Vespasiano (MG),317120,3171204,MG,Região Sudeste,129765,False,http://www.diariomunicipal.com.br/amm-mg/pesquisar?busca_avancada[entidadeUsuaria]=577,None,None,None,1,2010-03-25,HTML,True,None,
Viamão (RS),432300,4323002,RS,Região Sul,256302,False,https://www.in.gov.br/consulta/-/buscar/dou?q=%22Munic%C3%ADpio+de+Viam%C3%A3o%22&orgPrin=Prefeituras&orgSub=Estado+do+Rio+Grande+do+Sul,None,None,None,3,None,None,True,None,"Endereço existe (https://www.viamao.rs.gov.br/portal/diario-oficial), mas nenhum diário é disponibilizado ali. Também há menção a um Diário Oficial do Município em pelo menos uma notícia no portal: https://www.viamao.rs.gov.br/portal/noticias/0/3/4978/recred-dezembro-tem-desconto-de-ate-60-nos-juros-e-multas

Não foi possível encontrar outro endereço em pesquisas em motores de buscas, nem como link no site oficial, nem no diário da Associação de Municípios do Rio Grande do Sul (http://www.diariomunicipal.com.br/famurs/pesquisar), nem no Diário Oficial do Estado (https://www.diariooficial.rs.gov.br/).

Alguns atos avulsos são publicados no Portal da Transparência (https://www.viamao.rs.gov.br/portal/transparencia). Alguns atos são publicados no Diário Oficial da União (Fonte 1).

Foi realizada tentativa de contato com o atendimento da prefeitura em 13/01/2021, pelo número disponível no site (51 3492 7600), mas ninguém atendeu. No mesmo dia, foi aberto o Pedido de Acesso à Informação n. 26585925/2021, solicitando esclarecimentos sobre os veículos de publicação de atos oficiais utilizados pela Prefeitura de Viamão entre janeiro de 2020 e janeiro de 2021.

TENTATIVA DE CONTATO POR TELEFONE EM 18/01/2021, MAS NINGUÉM ATENDEU."
Vila Velha (ES),320520,3205200,ES,Região Sudeste,501325,False,https://www.vilavelha.es.gov.br/diariooficial/ConsultaDiario.aspx,None,None,None,1,2016-01-07,PDF texto,True,None,
Vilhena (RO),110030,1100304,RO,Região Norte,102211,False,http://dov.vilhena.ro.gov.br/,None,None,None,1,2017-03-07,PDF texto,True,None,
Vitória (ES),320530,3205309,ES,Região Sudeste,365855,True,https://ioes.dio.es.gov.br/caderno_municipios,https://diariooficial.vitoria.es.gov.br/,None,None,1,2020-07-10,PDF texto,True,None,"Aparentemente, Vitória deixou recentemente de publicar diário oficial próprio, passando a publicar na Diário Oficial dos Municípios Capixabas (da Imprensa Oficial do Estado - IOES). O site inicialmente mapeado, <https://diariooficial.vitoria.es.gov.br/> parece estar fora do ar desde Outubro de 2020 - justamente quando começam a existir publicações no IOES. Snapshots do portal antigo são acessíveis no Web Archive (<https://web.archive.org/web/*/https://diariooficial.vitoria.es.gov.br/>), mas esses não incluem o conteúdo dos diários.

O portal antigo foi mantido como fonte alternativa, para referência, embora se encontre fora do ar."
Vitória da Conquista (BA),293330,2933307,BA,Região Nordeste,341128,False,https://dom.pmvc.ba.gov.br/,None,None,None,1,2013-06-26,PDF imagem,True,None,
Vitória de Santo Antão (PE),261640,2616407,PE,Região Nordeste,139583,False,http://www.diariomunicipal.com.br/amupe/pesquisar?busca_avancada[entidadeUsuaria]=46229,None,None,None,1,2017-03-21,HTML,True,None,
Volta Redonda (RJ),330630,3306305,RJ,Região Sudeste,273988,False,https://new.voltaredonda.rj.gov.br/8-interno/658-vr-destaque,None,None,None,1,2003-01-02,PDF texto,True,None,
Votorantim (SP),355700,3557006,SP,Região Sudeste,123599,False,https://www.votorantim.sp.gov.br/portal/diario-oficial,None,None,None,1,2018-04-20,PDF texto,True,None,
Várzea Grande (MT),510840,5108402,MT,Região Centro-Oeste,287526,False,https://diariomunicipal.org/mt/amm/publicacoes/?e=334,None,None,None,1,2015-02-26,HTML,True,None,
Várzea Paulista (SP),355650,3556503,SP,Região Sudeste,123071,False,https://transparencia5.varzeapaulista.sp.gov.br/?pag=111&opt=0,None,None,None,1,2010-08-10,PDF texto,True,None,
Águas Lindas de Goiás (GO),520025,5200258,GO,Região Centro-Oeste,217698,False,http://diariooficial.abc.go.gov.br/buscanova/#/q=PREFEITURA%20MUNICIPAL%20DE%20AGUAS%20LINDAS%20DE%20GOI%C3%81S,None,None,None,1,2017-11-01,PDF texto,True,None,Também reúne atos oficiais em: https://aguaslindasdegoias.go.gov.br/?s=loa
